timestep,reward
5,0.48675
7902,1.19675
16862,1.4825
26637,1.8335
36233,1.7395
46000,1.647
55980,1.85675
66479,1.81875
76386,1.859
86290,2.25025
96305,2.202
106519,2.12175
116726,2.373
126890,2.2695
137123,2.40075
147319,2.3085
157436,2.34075
167691,2.312
178027,2.36575
188383,2.3705
198855,2.31925
209189,2.65175
219349,2.3505
229842,2.223
240252,2.17025
250440,2.41925
260824,2.306
271083,2.329
281328,2.19125
291566,2.4845
301932,2.09375
312197,2.286
322564,2.17525
332888,2.37125
343149,2.25975
353459,2.3405
363678,2.19375
373872,1.92925
383883,2.17425
394116,2.32925
404532,2.1675
414849,2.1735
425219,2.006
435278,1.92175
445327,2.09575
455358,2.203
465577,2.1665
475739,2.14475
486213,2.12075
496385,2.34225
